"kode_prov","nama_prov","kode_kabkota","nama_kabkota"
"62","Provinsi Kalimantan Tengah","6203","Kab. Kapuas"
"62","Provinsi Kalimantan Tengah","6213","Kab. Murung Raya"
"62","Provinsi Kalimantan Tengah","6208","Kab. Seruyan"
"62","Provinsi Kalimantan Tengah","6204","Kab. Barito Selatan"
"62","Provinsi Kalimantan Tengah","6271","Kota Palangkaraya"
"62","Provinsi Kalimantan Tengah","6207","Kab. Lamandau"
"62","Provinsi Kalimantan Tengah","6201","Kab. Kotawaringin Barat"
"63","Provinsi Kalimantan Selatan","6371","Kota Banjarmasin"
"63","Provinsi Kalimantan Selatan","6309","Kab. Tabalong"
"63","Provinsi Kalimantan Selatan","6301","Kab. Tanah Laut"
"63","Provinsi Kalimantan Selatan","6308","Kab. Hulu Sungai Utara"
"63","Provinsi Kalimantan Selatan","6306","Kab. Hulu Sungai Selatan"
"63","Provinsi Kalimantan Selatan","6311","Kab. Balangan"
"63","Provinsi Kalimantan Selatan","6304","Kab. Barito Kuala"
"63","Provinsi Kalimantan Selatan","6303","Kab. Banjar"
"63","Provinsi Kalimantan Selatan","6372","Kota Banjarbaru"
"63","Provinsi Kalimantan Selatan","6302","Kab. Kotabaru"
"63","Provinsi Kalimantan Selatan","6305","Kab. Tapin"
"63","Provinsi Kalimantan Selatan","6310","Kab. Tanah Bumbu"
"63","Provinsi Kalimantan Selatan","6307","Kab. Hulu Sungai Tengah"
"64","Provinsi Kalimantan Timur","6471","Kota Balikpapan"
"64","Provinsi Kalimantan Timur","6404","Kab. Kutai Timur"
"64","Provinsi Kalimantan Timur","6403","Kab. Kutai Kartanegara"
"64","Provinsi Kalimantan Timur","6401","Kab. Paser"
"64","Provinsi Kalimantan Timur","6472","Kota Samarinda"
"64","Provinsi Kalimantan Timur","6402","Kab. Kutai Barat"
"64","Provinsi Kalimantan Timur","6474","Kota Bontang"
"64","Provinsi Kalimantan Timur","6409","Kab. Penajam Paser Utara"
"64","Provinsi Kalimantan Timur","6411","Kab. Mahakam Ulu"
"64","Provinsi Kalimantan Timur","6405","Kab. Berau"
"71","Provinsi Sulawesi Utara","7111","Kab. Bolaang Mongondow Timur"
"71","Provinsi Sulawesi Utara","7106","Kab. Minahasa Utara"
"71","Provinsi Sulawesi Utara","7102","Kab. Minahasa"
"71","Provinsi Sulawesi Utara","7173","Kota Tomohon"
"71","Provinsi Sulawesi Utara","7107","Kab. Bolaang Mongondow Utara"
"71","Provinsi Sulawesi Utara","7103","Kab. Kepulauan Sangihe"
"71","Provinsi Sulawesi Utara","7174","Kota Kotamobagu"
"71","Provinsi Sulawesi Utara","7110","Kab. Bolaang Mongondow Selatan"
"71","Provinsi Sulawesi Utara","7105","Kab. Minahasa Selatan"
"71","Provinsi Sulawesi Utara","7171","Kota Manado"
"71","Provinsi Sulawesi Utara","7109","Kab. Minahasa Tenggara"
"71","Provinsi Sulawesi Utara","7101","Kab. Bolaang Mongondow"
"71","Provinsi Sulawesi Utara","7172","Kota Bitung"
"71","Provinsi Sulawesi Utara","7108","Kab. Kep. Siau Tagulandang Biaro"
"71","Provinsi Sulawesi Utara","7104","Kab. Kepulauan Talaud"
"72","Provinsi Sulawesi Tengah","7209","Kab. Tojo Una Una"
"72","Provinsi Sulawesi Tengah","7204","Kab. Poso"
"72","Provinsi Sulawesi Tengah","7211","Kab. Banggai Laut"
"72","Provinsi Sulawesi Tengah","7203","Kab. Morowali"
"72","Provinsi Sulawesi Tengah","7206","Kab. Toli Toli"
"72","Provinsi Sulawesi Tengah","7271","Kota Palu"
"72","Provinsi Sulawesi Tengah","7208","Kab. Parigi Moutong"
"72","Provinsi Sulawesi Tengah","7207","Kab. Buol"
"72","Provinsi Sulawesi Tengah","7210","Kab. Sigi"
"72","Provinsi Sulawesi Tengah","7205","Kab. Donggala"
"72","Provinsi Sulawesi Tengah","7212","Kab. Morowali Utara"
"72","Provinsi Sulawesi Tengah","7201","Kab. Banggai Kepulauan"
"72","Provinsi Sulawesi Tengah","7202","Kab. Banggai"
"73","Provinsi Sulawesi Selatan","7315","Kab. Pinrang"
"73","Provinsi Sulawesi Selatan","7372","Kota Pare Pare"
"73","Provinsi Sulawesi Selatan","7316","Kab. Enrekang"
"73","Provinsi Sulawesi Selatan","7305","Kab. Takalar"
"73","Provinsi Sulawesi Selatan","7307","Kab. Sinjai"
"73","Provinsi Sulawesi Selatan","7313","Kab. Wajo"
"73","Provinsi Sulawesi Selatan","7325","Kab. Luwu Timur"
"73","Provinsi Sulawesi Selatan","7314","Kab. Sidenreng Rappang"
"73","Provinsi Sulawesi Selatan","7303","Kab. Bantaeng"
"73","Provinsi Sulawesi Selatan","7318","Kab. Tana Toraja"
"73","Provinsi Sulawesi Selatan","7371","Kota Makassar"
"73","Provinsi Sulawesi Selatan","7312","Kab. Soppeng"
"73","Provinsi Sulawesi Selatan","7301","Kab. Kepulauan Selayar"
"73","Provinsi Sulawesi Selatan","7317","Kab. Luwu"
"73","Provinsi Sulawesi Selatan","7306","Kab. Gowa"
"73","Provinsi Sulawesi Selatan","7373","Kota Palopo"
"73","Provinsi Sulawesi Selatan","7322","Kab. Luwu Utara"
"73","Provinsi Sulawesi Selatan","7310","Kab. Barru"
"73","Provinsi Sulawesi Selatan","7302","Kab. Bulukumba"
"73","Provinsi Sulawesi Selatan","7311","Kab. Bone"
"73","Provinsi Sulawesi Selatan","7326","Kab. Toraja Utara"
"73","Provinsi Sulawesi Selatan","7309","Kab. Pangkajene dan Kepulauan"
"73","Provinsi Sulawesi Selatan","7304","Kab. Jeneponto"
"73","Provinsi Sulawesi Selatan","7308","Kab. Maros"
"74","Provinsi Sulawesi Tenggara","7410","Kab. Konawe Utara"
"74","Provinsi Sulawesi Tenggara","7405","Kab. Konawe Selatan"
"74","Provinsi Sulawesi Tenggara","7415","Kab. Buton Selatan"
"74","Provinsi Sulawesi Tenggara","7411","Kab. Kolaka Timur"
"74","Provinsi Sulawesi Tenggara","7407","Kab. Wakatobi"
"74","Provinsi Sulawesi Tenggara","7401","Kab. Buton"
"74","Provinsi Sulawesi Tenggara","7471","Kota Kendari"
"74","Provinsi Sulawesi Tenggara","7403","Kab. Konawe"
"74","Provinsi Sulawesi Tenggara","7404","Kab. Kolaka"
"74","Provinsi Sulawesi Tenggara","7413","Kab. Muna Barat"
"74","Provinsi Sulawesi Tenggara","7409","Kab. Buton Utara"
"74","Provinsi Sulawesi Tenggara","7406","Kab. Bombana"
"74","Provinsi Sulawesi Tenggara","7414","Kab. Buton Tengah"
"74","Provinsi Sulawesi Tenggara","7412","Kab. Konawe Kepulauan"
"74","Provinsi Sulawesi Tenggara","7408","Kab. Kolaka Utara"
"74","Provinsi Sulawesi Tenggara","7402","Kab. Muna"
"74","Provinsi Sulawesi Tenggara","7472","Kota Bau Bau"
"81","Provinsi Maluku","8107","Kab. Seram Bagian Timur"
"81","Provinsi Maluku","8109","Kab. Buru Selatan"
"81","Provinsi Maluku","8104","Kab. Buru"
"81","Provinsi Maluku","8103","Kab. Maluku Tengah"
"81","Provinsi Maluku","8172","Kota Tual"
"81","Provinsi Maluku","8106","Kab. Seram Bagian Barat"
"81","Provinsi Maluku","8101","Kab. Kepulauan Tanimbar"
"81","Provinsi Maluku","8108","Kab. Maluku Barat Daya"
"81","Provinsi Maluku","8171","Kota Ambon"
"81","Provinsi Maluku","8105","Kab. Kepulauan Aru"
"81","Provinsi Maluku","8102","Kab. Maluku Tenggara"
"51","Provinsi Bali","5106","Kab. Bangli"
"51","Provinsi Bali","5108","Kab. Buleleng"
"51","Provinsi Bali","5102","Kab. Tabanan"
"51","Provinsi Bali","5105","Kab. Klungkung"
"51","Provinsi Bali","5107","Kab. Karangasem"
"51","Provinsi Bali","5103","Kab. Badung"
"51","Provinsi Bali","5101","Kab. Jembrana"
"51","Provinsi Bali","5171","Kota Denpasar"
"51","Provinsi Bali","5104","Kab. Gianyar"
"52","Provinsi Nusa Tenggara Barat","5202","Kab. Lombok Tengah"
"52","Provinsi Nusa Tenggara Barat","5271","Kota Mataram"
"52","Provinsi Nusa Tenggara Barat","5206","Kab. Bima"
"52","Provinsi Nusa Tenggara Barat","5205","Kab. Dompu"
"52","Provinsi Nusa Tenggara Barat","5201","Kab. Lombok Barat"
"52","Provinsi Nusa Tenggara Barat","5208","Kab. Lombok Utara"
"52","Provinsi Nusa Tenggara Barat","5203","Kab. Lombok Timur"
"52","Provinsi Nusa Tenggara Barat","5272","Kota Bima"
"52","Provinsi Nusa Tenggara Barat","5204","Kab. Sumbawa"
"52","Provinsi Nusa Tenggara Barat","5207","Kab. Sumbawa Barat"
"53","Provinsi Nusa Tenggara Timur","5319","Kab. Manggarai Timur"
"53","Provinsi Nusa Tenggara Timur","5314","Kab. Rote Ndao"
"53","Provinsi Nusa Tenggara Timur","5312","Kab. Ngada"
"53","Provinsi Nusa Tenggara Timur","5304","Kab. Timor Tengah Selatan"
"53","Provinsi Nusa Tenggara Timur","5321","Kab. Malaka"
"53","Provinsi Nusa Tenggara Timur","5318","Kab. Nagekeo"
"53","Provinsi Nusa Tenggara Timur","5302","Kab. Sumba Timur"
"53","Provinsi Nusa Tenggara Timur","5310","Kab. Sikka"
"53","Provinsi Nusa Tenggara Timur","5303","Kab. Kupang"
"53","Provinsi Nusa Tenggara Timur","5317","Kab. Sumba Barat Daya"
"53","Provinsi Nusa Tenggara Timur","5308","Kab. Lembata"
"53","Provinsi Nusa Tenggara Timur","5311","Kab. Ende"
"53","Provinsi Nusa Tenggara Timur","5305","Kab. Timor Tengah Utara"
"53","Provinsi Nusa Tenggara Timur","5320","Kab. Sabu Raijua"
"53","Provinsi Nusa Tenggara Timur","5315","Kab. Manggarai Barat"
"53","Provinsi Nusa Tenggara Timur","5313","Kab. Manggarai"
"53","Provinsi Nusa Tenggara Timur","5307","Kab. Alor"
"53","Provinsi Nusa Tenggara Timur","5371","Kota Kupang"
"53","Provinsi Nusa Tenggara Timur","5316","Kab. Sumba Tengah"
"53","Provinsi Nusa Tenggara Timur","5301","Kab. Sumba Barat"
"53","Provinsi Nusa Tenggara Timur","5309","Kab. Flores Timur"
"53","Provinsi Nusa Tenggara Timur","5306","Kab. Belu"
"94","Provinsi Papua","9409","Kab. Biak Numfor"
"94","Provinsi Papua","9435","Kab. Intan Jaya"
"94","Provinsi Papua","9430","Kab. Lanny Jaya"
"94","Provinsi Papua","9428","Kab. Mamberamo Raya"
"94","Provinsi Papua","9413","Kab. Boven Digoel"
"94","Provinsi Papua","9404","Kab. Nabire"
"94","Provinsi Papua","9471","Kota Jayapura"
"94","Provinsi Papua","9432","Kab. Yalimo"
"94","Provinsi Papua","9416","Kab. Yahukimo"
"94","Provinsi Papua","9420","Kab. Keerom"
"94","Provinsi Papua","9412","Kab. Mimika"
"94","Provinsi Papua","9401","Kab. Merauke"
"94","Provinsi Papua","9403","Kab. Jayapura"
"94","Provinsi Papua","9433","Kab. Puncak"
"94","Provinsi Papua","9431","Kab. Mamberamo Tengah"
"94","Provinsi Papua","9417","Kab. Pegunungan Bintang"
"94","Provinsi Papua","9415","Kab. Asmat"
"94","Provinsi Papua","9410","Kab. Paniai"
"94","Provinsi Papua","9408","Kab. Kepulauan Yapen"
"94","Provinsi Papua","9436","Kab. Deiyai"
"94","Provinsi Papua","9434","Kab. Dogiyai"
"94","Provinsi Papua","9426","Kab. Waropen"
"94","Provinsi Papua","9419","Kab. Sarmi"
"94","Provinsi Papua","9411","Kab. Puncak Jaya"
"94","Provinsi Papua","9429","Kab. Nduga"
"94","Provinsi Papua","9427","Kab. Supiori"
"94","Provinsi Papua","9418","Kab. Tolikara"
"94","Provinsi Papua","9414","Kab. Mappi"
"94","Provinsi Papua","9402","Kab. Jayawijaya"
"17","Provinsi Bengkulu","1702","Kab. Rejang Lebong"
"17","Provinsi Bengkulu","1771","Kota Bengkulu"
"17","Provinsi Bengkulu","1704","Kab. Kaur"
"17","Provinsi Bengkulu","1707","Kab. Lebong"
"17","Provinsi Bengkulu","1701","Kab. Bengkulu Selatan"
"17","Provinsi Bengkulu","1709","Kab. Bengkulu Tengah"
"17","Provinsi Bengkulu","1705","Kab. Seluma"
"17","Provinsi Bengkulu","1706","Kab. Mukomuko"
"17","Provinsi Bengkulu","1703","Kab. Bengkulu Utara"
"17","Provinsi Bengkulu","1708","Kab. Kepahiang"
"82","Provinsi Maluku Utara","8272","Kota Tidore Kepulauan"
"82","Provinsi Maluku Utara","8206","Kab. Halmahera Timur"
"82","Provinsi Maluku Utara","8207","Kab. Pulau Morotai"
"82","Provinsi Maluku Utara","8205","Kab. Halmahera Utara"
"82","Provinsi Maluku Utara","8271","Kota Ternate"
"82","Provinsi Maluku Utara","8203","Kab. Kepulauan Sula"
"82","Provinsi Maluku Utara","8201","Kab. Halmahera Barat"
"82","Provinsi Maluku Utara","8202","Kab. Halmahera Tengah"
"82","Provinsi Maluku Utara","8208","Kab. Pulau Taliabu"
"82","Provinsi Maluku Utara","8204","Kab. Halmahera Selatan"
"36","Provinsi Banten","3674","Kota Tangerang Selatan"
"36","Provinsi Banten","3671","Kota Tangerang"
"36","Provinsi Banten","3601","Kab. Pandeglang"
"36","Provinsi Banten","3673","Kota Serang"
"36","Provinsi Banten","3603","Kab. Tangerang"
"36","Provinsi Banten","3672","Kota Cilegon"
"36","Provinsi Banten","3604","Kab. Serang"
"36","Provinsi Banten","3602","Kab. Lebak"
"19","Provinsi Kepulauan Bangka Belitung","1905","Kab. Bangka Selatan"
"19","Provinsi Kepulauan Bangka Belitung","1971","Kota Pangkal Pinang"
"19","Provinsi Kepulauan Bangka Belitung","1901","Kab. Bangka"
"19","Provinsi Kepulauan Bangka Belitung","1904","Kab. Bangka Tengah"
"19","Provinsi Kepulauan Bangka Belitung","1906","Kab. Belitung Timur"
"19","Provinsi Kepulauan Bangka Belitung","1902","Kab. Belitung"
"19","Provinsi Kepulauan Bangka Belitung","1903","Kab. Bangka Barat"
"75","Provinsi Gorontalo","7505","Kab. Gorontalo Utara"
"75","Provinsi Gorontalo","7501","Kab. Boalemo"
"75","Provinsi Gorontalo","7504","Kab. Bone Bolango"
"75","Provinsi Gorontalo","7571","Kota Gorontalo"
"75","Provinsi Gorontalo","7502","Kab. Gorontalo"
"75","Provinsi Gorontalo","7503","Kab. Pohuwato"
"21","Provinsi Kepulauan Riau","2104","Kab. Lingga"
"21","Provinsi Kepulauan Riau","2171","Kota Batam"
"21","Provinsi Kepulauan Riau","2102","Kab. Bintan"
"21","Provinsi Kepulauan Riau","2103","Kab. Natuna"
"21","Provinsi Kepulauan Riau","2105","Kab. Kepulauan Anambas"
"21","Provinsi Kepulauan Riau","2172","Kota Tanjung Pinang"
"21","Provinsi Kepulauan Riau","2101","Kab. Karimun"
"91","Provinsi Papua Barat","9111","Kab. Manokwari Selatan"
"91","Provinsi Papua Barat","9103","Kab. Teluk Wondama"
"91","Provinsi Papua Barat","9107","Kab. Sorong"
"91","Provinsi Papua Barat","9109","Kab. Tambrauw"
"91","Provinsi Papua Barat","9106","Kab. Sorong Selatan"
"91","Provinsi Papua Barat","9112","Kab. Pegunungan Arfak"
"91","Provinsi Papua Barat","9104","Kab. Teluk Bintuni"
"91","Provinsi Papua Barat","9105","Kab. Manokwari"
"91","Provinsi Papua Barat","9171","Kota Sorong"
"91","Provinsi Papua Barat","9102","Kab. Kaimana"
"91","Provinsi Papua Barat","9101","Kab. Fak Fak"
"91","Provinsi Papua Barat","9110","Kab. Maybrat"
"91","Provinsi Papua Barat","9108","Kab. Raja Ampat"
"76","Provinsi Sulawesi Barat","7602","Kab. Polewali Mandar"
"76","Provinsi Sulawesi Barat","7606","Kab. Mamuju Tengah"
"76","Provinsi Sulawesi Barat","7601","Kab. Majene"
"76","Provinsi Sulawesi Barat","7605","Kab. Pasangkayu"
"76","Provinsi Sulawesi Barat","7603","Kab. Mamasa"
"76","Provinsi Sulawesi Barat","7604","Kab. Mamuju"
"65","Provinsi Kalimantan Utara","6571","Kota Tarakan"
"65","Provinsi Kalimantan Utara","6504","Kab. Nunukan"
"65","Provinsi Kalimantan Utara","6503","Kab. Tana Tidung"
"65","Provinsi Kalimantan Utara","6502","Kab. Bulungan"
"65","Provinsi Kalimantan Utara","6501","Kab. Malinau"
